ID,Name,Rating,Position,Revision,Nation,Club,League,Price | PS,WeakFoot,Skill Moves,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,Body Type,Weight,Height,WorkRate,Popularity,BaseStats,InGameStats
0,Pelé,98,CAM,Icon,Brazil,FUT 22 ICONS,Icons,5M,5,4,95,96,93,96,60,76,Unique,70kg,"173cm|5'8""",H\M,867,516,2513
1,Robert Lewandowski,98,ST,TOTY,Poland,FC Bayern,Bundesliga,883K,4,4,93,98,87,95,50,95,Unique,81kg,"185cm|6'1""",H\M,11963,518,2500
2,Lionel Messi,98,RW,TOTY,Argentina,Paris SG,Ligue 1,3.21M,4,4,93,97,98,99,40,76,Messi,72kg,"170cm|5'7""",M\L,2290,503,2451
3,Diego Maradona,97,CAM,Icon,Argentina,FUT 22 ICONS,Icons,2.88M,5,3,92,93,92,97,40,76,Maradona,70kg,"165cm|5'5""",H\M,444,490,2392
4,Kylian Mbappé,97,ST,TOTY,France,Paris SG,Ligue 1,6.17M,5,4,99,95,90,98,44,88,Unique,73kg,"182cm|6'0""",H\L,-8524,514,2457
5,Luiz Frello Filho Jorge,97,CM,TOTY,Italy,Chelsea,Premier League,1.09M,4,4,88,90,98,93,86,87,Lean,68kg,"180cm|5'11""",M\M,-3593,542,2620
6,Rúben Dias,97,CB,TOTY,Portugal,Manchester City,Premier League,887K,2,4,87,50,84,81,97,96,High & Average,82kg,"187cm|6'2""",M\H,4596,495,2310
7,Cristiano Ronaldo,97,ST,TOTY,Portugal,Manchester Utd,Premier League,6.05M,5,4,93,98,88,95,39,92,CR7,83kg,"187cm|6'2""",H\L,1518,505,2445
8,Ronaldo,96,ST,Icon,Brazil,FUT 22 ICONS,Icons,9.05M,5,5,97,95,81,95,45,76,R9,78kg,"183cm|6'0""",M\M,1476,489,2341
9,Zinedine Zidane,96,CAM,Icon,France,FUT 22 ICONS,Icons,2.67M,5,5,85,92,96,95,75,86,Average,77kg,"185cm|6'1""",M\M,422,529,2548
10,Kevin De Bruyne,96,CM,TOTY,Belgium,Manchester City,Premier League,1.88M,4,5,86,92,98,93,80,88,Unique,70kg,"181cm|5'11""",H\H,1949,537,2587
11,N'Golo Kanté,96,CDM,TOTY,France,Chelsea,Premier League,3.21M,3,3,90,84,90,91,96,90,Unique,70kg,"168cm|5'6""",M\H,8818,541,2551
12,Gianluigi Donnarumma,96,GK,TOTY,Italy,Paris SG,Ligue 1,186K,1,3,98,90,90,97,63,92,Unique,90kg,"196cm|6'5""",M\M,-2216,530,1040
13,Diego Maradona,95,CAM,Icon,Argentina,FUT 22 ICONS,Icons,1.79M,5,3,88,91,90,95,42,75,Maradona,72kg,"165cm|5'5""",H\M,560,481,2357
14,Pelé,95,CF,Icon,Brazil,FUT 22 ICONS,Icons,4.11M,5,4,96,93,90,95,56,75,Unique,69kg,"173cm|5'8""",H\M,814,505,2452
15,Lionel Messi,95,RW,OTW,Argentina,Paris SG,Ligue 1,2.19M,4,4,88,94,93,97,36,70,Messi,72kg,"170cm|5'7""",M\L,2746,478,2332
16,Marquinhos,95,CB,TOTY,Brazil,Paris SG,Ligue 1,1.39M,3,3,90,61,85,86,97,90,Average,75kg,"183cm|6'0""",M\H,-396,509,2382
17,Ferenc Puskás,94,CF,Icon,Hungary,FUT 22 ICONS,Icons,2M,4,3,91,96,91,92,46,76,Stocky,72kg,"172cm|5'8""",H\M,530,492,2396
18,Johan Cruyff,94,CF,Icon,Netherlands,FUT 22 ICONS,Icons,4.15M,5,5,91,92,91,94,42,73,Lean,71kg,"180cm|5'11""",H\L,518,483,2339
19,Lev Yashin,94,GK,Icon,Russia,FUT 22 ICONS,Icons,660K,1,3,95,89,75,96,60,95,High & Average,82kg,"189cm|6'2""",M\M,339,510,1320
